#{"t_start": 1620074777.0286274, "env_id": null}
r,l,t
-143.28125,30,1.127156
445.09082,30,1.204995
391.915283,30,1.288481
844.917969,30,1.365033
-410.012695,30,1.434922
183.260437,30,1.495687
2072.399414,30,1.556038
1241.086304,30,1.619861
2271.259521,30,1.692495
-909.610596,30,1.757874
-346.949097,30,1.818895
1138.730957,30,1.879439
-172.292969,30,1.938993
230.53418,30,1.997888
2432.275879,30,2.059234
268.538818,30,2.133506
-365.224121,30,2.196663
1570.929932,30,2.259222
214.038574,30,2.340871
-689.391113,30,2.413511
1155.244141,30,2.472892
524.918945,30,2.532678
352.578857,30,2.59951
406.813843,30,2.677361
-2893.435059,30,2.755749
-1316.162109,30,2.832093
264.185791,30,2.904234
3626.766235,30,2.96644
114.962402,30,3.029508
-1023.868652,30,3.106796
387.803955,30,3.182413
-182.9646,30,3.249875
-1016.76709,30,3.309833
288.671631,30,3.370778
963.290283,30,3.429618
1413.229858,30,3.487895
-287.251953,30,3.546422
1679.579102,30,3.625968
-673.414551,30,3.713976
-836.297119,30,3.794415
-246.062744,30,3.883896
1143.990601,30,3.973057
-1004.407471,30,4.052854
254.621582,30,4.136352
652.550049,30,4.233746
1295.699707,30,4.320664
323.169922,30,4.405503
10.640869,30,4.490101
525.737793,30,4.601918
547.208069,30,4.705525
1052.445557,30,4.813908
389.804199,30,4.938507
304.545654,30,5.090626
184.497314,30,5.201811
-606.722534,30,5.33267
-63.01001,30,5.477262
243.980469,30,5.593093
1498.846436,30,5.710886
1940.540039,30,5.869474
1873.274414,30,6.027303
-725.725586,30,6.126566
188.820312,30,6.248833
-801.131592,30,6.363693
-88.062744,30,6.487151
-3075.932617,30,6.594949
1289.93457,30,6.736788
1422.070312,30,6.866747
600.161621,30,7.00896
-1037.843872,30,8.794725
1561.774414,30,8.950707
999.225586,30,9.089818
695.649414,30,9.238389
3152.840332,30,9.37232
-1317.491333,30,9.504056
-94.357056,30,9.648175
-61.558838,30,9.794127
1279.259766,30,9.923284
1645.663086,30,10.069014
505.771729,30,10.206347
1889.153809,30,10.366815
542.263306,30,10.499137
-495.946777,30,10.602774
978.475342,30,10.693277
512.895508,30,10.797224
-262.270508,30,10.883333
763.558472,30,10.964567
569.378906,30,11.047408
577.674805,30,11.145149
-2119.05603,30,11.236043
-768.769287,30,11.316415
-903.563477,30,11.399187
123.33667,30,11.497021
-345.237793,30,11.597708
825.811768,30,11.68518
709.383301,30,11.773576
189.539795,30,11.859762
-673.395508,30,11.945026
72.569336,30,12.028808
2070.257324,30,12.116999
-1485.16925,30,12.200215
504.105957,30,12.287333
1675.80835,30,12.369522
0.231323,30,12.450134
2499.925293,30,12.527382
889.187012,30,12.608032
1179.789795,30,12.693571
-83.265625,30,12.766121
441.983887,30,12.855168
-1066.645264,30,12.929974
1198.880859,30,13.008525
-735.039307,30,13.0857
115.684082,30,13.167231
544.895264,30,13.244857
1212.051147,30,13.325213
-3268.567017,30,13.389256
2069.004639,30,13.470241
1103.898132,30,13.555958
685.617188,30,13.624746
657.987793,30,13.698336
277.962891,30,13.759641
-646.803711,30,13.819962
652.059814,30,13.890432
-804.211914,30,13.998944
829.577148,30,14.090099
-714.58667,30,14.160025
-448.068848,30,14.219373
1968.026855,30,14.279058
933.879639,30,14.349816
864.12793,30,14.409236
-1941.060547,30,14.46813
170.106445,30,14.534596
1038.355957,30,14.608812
134.41333,30,14.66929
672.463379,30,14.737508
730.349976,30,14.809326
981.787476,30,14.894568
425.563721,30,15.814378
-1209.806641,30,15.892822
-65.050049,30,15.955243
983.788818,30,16.025495
1501.757568,30,16.097387
-321.804932,30,16.178751
304.288574,30,16.263861
69.348145,30,16.345235
327.543945,30,16.424406
351.558838,30,16.499097
-596.47168,30,16.585642
-312.780273,30,16.655636
3066.94104,30,16.726903
-1160.932617,30,16.798165
2498.817383,30,16.858919
1742.116455,30,16.918051
1430.895508,30,16.97677
